,source_node,path,distance
328,109,"[109, 96, 258, 264, 198, 146, 104, 74, 15]",9
329,109,"[109, 96, 258, 223, 24, 241, 14, 81, 25]",9
330,110,"[110, 134, 54, 264, 236, 155, 1, 5]",8
331,110,"[110, 134, 54, 264, 198, 146, 104, 74, 15]",9
332,110,"[110, 134, 54, 264, 236, 280, 76, 81, 25]",9
333,111,"[111, 96, 258, 264, 236, 155, 1, 5]",8
334,111,"[111, 96, 258, 264, 198, 146, 104, 74, 15]",9
335,111,"[111, 96, 258, 223, 24, 241, 14, 81, 25]",9
336,112,"[112, 87, 232, 3, 71, 46, 194, 287, 10]",9
337,112,"[112, 87, 232, 3, 71, 46, 0, 155, 1, 5]",10
338,112,"[112, 87, 232, 3, 216, 264, 198, 146, 104, 74, 15]",11
339,113,"[113, 21, 193, 142, 243, 8, 117, 1, 5]",9
340,113,"[113, 21, 193, 142, 243, 8, 117, 40, 25]",9
341,113,"[113, 21, 193, 142, 243, 8, 146, 104, 74, 15]",10
342,114,"[114, 106, 272, 246, 104, 74, 15]",7
343,114,"[114, 106, 37, 188, 71, 46, 194, 287, 10]",9
344,114,"[114, 106, 272, 246, 126, 163, 76, 81, 25]",9
345,115,"[115, 15]",2
346,115,"[115, 40, 25]",3
347,115,"[115, 40, 117, 1, 5]",5
348,116,"[116, 298, 65, 34, 276, 184, 243, 8, 117, 1, 5]",11
349,116,"[116, 298, 65, 34, 276, 184, 243, 8, 117, 40, 25]",11
350,116,"[116, 298, 65, 34, 276, 184, 243, 8, 146, 104, 74, 15]",12
351,117,"[117, 1, 5]",3
352,117,"[117, 40, 25]",3
353,117,"[117, 40, 115, 15]",4
354,118,"[118, 290, 98, 105, 86, 184, 243, 8, 117, 1, 5]",11
355,118,"[118, 290, 98, 105, 86, 184, 243, 8, 117, 40, 25]",11
356,118,"[118, 290, 98, 105, 86, 184, 243, 8, 146, 104, 74, 15]",12
357,119,"[119, 278, 111, 96, 258, 264, 236, 155, 1, 5]",10
358,119,"[119, 278, 111, 96, 258, 264, 198, 146, 104, 74, 15]",11
359,119,"[119, 278, 111, 96, 258, 223, 24, 241, 14, 81, 25]",11
360,120,"[120, 144, 283, 252, 72, 40, 25]",7
361,120,"[120, 56, 45, 77, 297, 275, 159, 5]",8
362,120,"[120, 144, 283, 252, 72, 40, 115, 15]",8
363,121,"[121, 295, 136, 73, 211, 236, 155, 1, 5]",9
364,121,"[121, 295, 136, 226, 82, 203, 199, 28, 115, 15]",10
365,121,"[121, 295, 136, 226, 268, 283, 252, 72, 40, 25]",10
366,122,"[122, 108, 137, 195, 223, 24, 241, 14, 81, 25]",10
367,122,"[122, 108, 137, 195, 223, 258, 264, 236, 155, 1, 5]",11
368,122,"[122, 108, 137, 195, 223, 258, 264, 198, 146, 104, 74, 15]",12
369,123,"[123, 216, 264, 236, 155, 1, 5]",7
370,123,"[123, 216, 3, 71, 46, 194, 287, 10]",8
371,123,"[123, 216, 264, 198, 146, 104, 74, 15]",8
372,124,"[124, 256, 105, 86, 184, 243, 8, 117, 1, 5]",10
373,124,"[124, 256, 105, 86, 184, 243, 8, 117, 40, 25]",10
374,124,"[124, 256, 105, 86, 184, 243, 8, 146, 104, 74, 15]",11
375,125,"[125, 262, 95, 243, 8, 117, 1, 5]",8
376,125,"[125, 262, 95, 243, 8, 117, 40, 25]",8
377,125,"[125, 262, 95, 243, 8, 146, 104, 74, 15]",9
378,126,"[126, 246, 104, 74, 15]",5
379,126,"[126, 163, 76, 81, 25]",5
380,126,"[126, 246, 104, 146, 8, 117, 1, 5]",8
381,127,"[127, 11, 87, 232, 3, 71, 46, 194, 287, 10]",10
382,127,"[127, 11, 87, 232, 3, 71, 46, 0, 155, 1, 5]",11
